hotel,fecha,puntuacion,nombre,titulo,positivo,negativo
Vitoria,Escrito en 19 de mayo de 2025,Sin puntuación,Jose,“VOLVEREMOS”,"La ubicación, muy cerca del centro y al lado de un Supermercado. La cama amplia y muy cómoda.","Echamos en falta mocho, recogedor y escoba para la limpieza 🧹 del apartamento o quizá un pequeño aspirador.
Bastante complicado aparcar en la zona."
Vitoria,Escrito en 15 de mayo de 2025,Sin puntuación,Tomas,Muy bien,Ubicacion,Que en las imágenes de la reserva el apartamento tenía terraza y en realidad no la tenía.
Vitoria,Escrito en 15 de mayo de 2025,Sin puntuación,Ariadna,“apartamento súper recomendable”,apartamento muy nuevo. todo en perfecto estado. limpieza espectacular. moderno y luminoso. bien equipado. tiene un día justo encima que facilita poder comprar. se aparca en la calle sin pagar.,me gustó todo de este apartamento.
Vitoria,Escrito en 14 de mayo de 2025,Sin puntuación,Patricia,“MAGNÍFICO”,"nos gustó mucho el alojamiento. Tenía de todo, muy completo. Las camas muy cómodas y cerca del centro.hay supermercados cerca y muchos bares y tiendas.nos dejaron un detalle al llegar y se agradece.volveremos sin duda.",nada
Vitoria,Escrito en 12 de mayo de 2025,Sin puntuación,Julio,“Buena ubicación”,La ubicación,El sofá cama un poco incómodo
Vitoria,Escrito en 24 de marzo de 2025,Sin puntuación,Antonio,Excepcional,Hola buenos días mira soy la chica que estuve en el hotel con mi marido y mi hija por favor me tenéis que mandar la factura lo que pagué si no el seguro no me lo pagan,
Vitoria,Escrito en 24 de marzo de 2025,Sin puntuación,Cristina,“Muy bien”,Silencio en pasillos. Discreción.,Se oía mucho el tráfico
Vitoria,Escrito en 24 de marzo de 2025,Sin puntuación,Ainara,“Finde express con amigas”,Es la segunda vez que nos alojamos en estos apartamentos: todo estaba muy limpio y no se oía nada de ruido. Muy bien ubicado,"El sofá cama muy incómodo, cada vez que se movía la persona que dormía ahí hacía ruido. Faltaba una mesilla de noche en la habitación principal"
Vitoria,Escrito en 22 de marzo de 2025,Sin puntuación,Maria,Muy bien,La ubicación es perfecta. Cogimos el parquing y está cerca del centro de la ciudad. Tiene detalles de bienvenida y está bastante bien equipado para pasar unos días. Y la pequeña cocina con el menaje hace que puedas prepararte cualquier cosa de manera comoda,El sofá cama era bastante incómodo pero para pasar un par de días suficiente.
Vitoria,Escrito en 22 de marzo de 2025,Sin puntuación,Vicente,Bien,La ubicación del apartahotel. Próximo al casco viejo y de fácil acceso.,La incomodidad del sofá cama. La falta de utensilios de cocina y que el dispensador de jabón de la ducha estuviera roto.
Vitoria,Escrito en 20 de marzo de 2025,Sin puntuación,Josu10,“Fácil”,Cómodo el acceso,
Vitoria,Escrito en 17 de marzo de 2025,Sin puntuación,Eduardo,Muy bien,"Muy cómodo para cocinar, descansar, etc",No había personal presencial.
Vitoria,Escrito en 16 de marzo de 2025,Sin puntuación,Samvasco,Excepcional,"Ubicación,todo andando en cinco minutos,y muy cómodo para estar",
Vitoria,Escrito en 12 de marzo de 2025,Sin puntuación,Juan,“Estupendo si viajas connperro”,El equipamiento de la habitación y poner llevar el perrito,No funcionaba la entrada al hotel con el teléfono. Hemos tenido que acceder con el código. En la habitación sí funcionaba bien
Vitoria,Escrito en 10 de marzo de 2025,Sin puntuación,Pedro,“Estancia muy cómoda”,"Alojamiento, desayuno y parking",
Vitoria,Escrito en 8 de marzo de 2025,Sin puntuación,Macarena,"“Genial, repetiríamos”","Localización, la habitación y la disposición. Pusieron todo lo necesario oara nuestro bebé, tanto cuna como trona. Genial","Falta de servilletas/papel cocina y algunos básicos como aceite,sal, vinagre. Falta consigna equipaje"
Vitoria,Escrito en 5 de marzo de 2025,Sin puntuación,Daniel,Excepcional,La ubicación y la limpieza,La ausencia de mampara en la ducha
Vitoria,Escrito en 3 de marzo de 2025,Sin puntuación,Carlos,Bien,La ubicación y la facilidad para el chekin,"Poca o ninguna flexibilidad en los horarios. Después de pagar 24h de parking, tienes q salir antes de las 11:00La relación calidad/precio no se corresponde"
Vitoria,Escrito en 3 de marzo de 2025,Sin puntuación,Teresa,“Bien”,Los apartamentos son cómodos y el acceso a las instalaciones es muy sencillo. La limpieza es óptima y los baños son amplios y cómodos; estan muy bien equipados. El apartamento en general está bien.,"Nuestra cama se movía mucho porque tenía las patas sueltas. Las almohadas son muy incómodas, extremadamente finas. Los apartamentos no estan preparados del todo ya que por ejemplo en la cocina apenas hay enchufes (tuvimos que enchufar el tostador en el mueble de la tele y la cafetera en un enchufe a la altura del suelo ya que en la encimera no había ningún enchufe). Las ventanas no se pueden abrir completamente, lo que dificulta que se pueda ventilar. El resto de las estancias estan muy bien y en general los apartamentos son cómodos y amplios."
